,block_number,from_address,to_address,isERC20
14608676,7562313,0x0000000000b3f879cb30fe243b4dfee438691c04,0x8a5fe7bb77cca2ebf0f5f206fd7f2b02e4fa2231,False
22589664,9623968,0x0000000000b3f879cb30fe243b4dfee438691c04,0x51fc37c552d745a90bc006c179e9daf9d966cf90,False
44979020,12709359,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x8092362b5a3f6bc20ac2f7f3fb9c9086dc29842a,False
31755271,10973086,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x20a04f3098167cce3b68351bca9946ea25ea6a01,False
45700796,12764135,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x5c20f30e1b7c9cebc2bc125ff1450c98b6404c60,False
33971150,11140819,0x0000000000b3f879cb30fe243b4dfee438691c04,0x4ba3bd3dd3fd9b9d87a26c474af4dcc53c94dccb,False
27834989,10434505,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x1300489b6c769925debe8b3e6566a920c7f7790a,False
20150680,9139428,0x0000000000b3f879cb30fe243b4dfee438691c04,0x2c0e6d06ce889105fcd6185794b42ba988c23daa,False
29823584,10713951,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x300aac4145ee6b6d249bdaf139bb3eb674148b39,False
31909747,10982944,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x060d65be734759c4fbfcdeab855a4bc04e4d2f52,False
44690032,12680072,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x71f39731b45a8c41bc6254600efbd8fe29eb6e8f,False
43442226,12590823,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x1c9b600026f489e0c6336791af18f2c1989f2fbb,False
34364874,11188494,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x1ab261c713ae8e55b7c49c00a11d3965d071db79,False
20689055,9227051,0x0000000000b3f879cb30fe243b4dfee438691c04,0x139456c6b6a423fd40a9d0a678f7f907c93a31df,False
30841617,10824456,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xc66dfb2a6959678a8b8676d86d24f0c8e31d22fa,False
27801631,10433445,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x67a36094cac180f2467230702c11bb9bd5c5ac6c,False
23307575,9691121,0x0000000000b3f879cb30fe243b4dfee438691c04,0x344d538438b1345df2dcc9cdebd72a2b9fcb1167,False
28520984,10576624,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x40803d78912f5eda24213bacf914cc8fe33d57b1,False
29464623,10674612,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xcb5526b19bf5e78d010e51c79fa7b0ab08b190bd,False
31492535,10936629,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xe1b299d6934e1c888aba8ea165c936f3ec7f6058,False
