address,isERC20,type
0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,True,1
0xd8912c10681d8b21fd3742244f44658dba12264e,True,1
0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,True,1
0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,True,1
0x607f4c5bb672230e8672085532f7e901544a7375,True,1
0x6810e776880c02933d47db1b9fc05908e5386b96,True,1
0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,True,1
0x960b236a07cf122663c4303350609a66a7b288c0,True,1
0x0d8775f648430679a709e98d2b0cb6250d2887ef,True,1
0x595832f8fc6bf59c85c527fec3740a1b7a361269,True,1
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,True,1
0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,True,1
0xb97048628db6b661d4c2aa833e95dbe1a905b280,True,1
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,True,1
0x744d70fdbe2ba4cf95131626614a1763df805b9e,True,1
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,True,1
0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,True,1
0x5af2be193a6abca9c8817001f45744777db30756,True,1
0xf4134146af2d511dd5ea8cdb1c4ac88c57d60404,True,1
0xf433089366899d83a9f26a773d59ec7ecf30355e,True,1
0x4470bb87d77b963a013db939be332f927f2b992e,True,1
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,True,1
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,True,1
0xff18dbc487b4c2e3222d115952babfda8ba52f5f,True,1
0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,True,1
0x41e5560054824ea6b0732e656e3ad64e20e94e45,True,1
0x3597bfd533a99c9aa083587b074434e61eb0a258,True,1
0xe3818504c1b32bf1557b16c238b2e01fd3149c17,True,1
0x226bb599a12c826476e3a771454697ea52e9e220,True,1
0x0abdace70d3790235af448c88547603b945604ea,True,1
0x0cf0ee63788a0849fe5297f3407f701e122cc023,True,1
0x4156d3342d5c385a87d264f90653733592000581,True,1
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,True,1
0xe41d2489571d322189246dafa5ebde1f4699f498,True,1
0xd850942ef8811f2a866692a623011bde52a462c1,True,1
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,True,1
0xdd6c68bb32462e01705011a4e2ad1a60740f217f,True,1
0xf230b790e05390fc8295f4d3f60332c93bed42e2,True,1
0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,True,1
0xb2f7eb1f2c37645be61d73953035360e768d81e6,True,1
0xb4efd85c19999d84251304bda99e90b92300bd93,True,1
0xa8006c4ca56f24d6836727d106349320db7fef82,True,1
0xd4c435f5b09f855c3317c8524cb1f586e42795fa,True,1
0xdd974d5c2e2928dea5f71b9825b8b646686bd200,True,1
0xe477292f1b3268687a29376116b0ed27a9c76170,True,1
0x514910771af9ca656af840dff83e8264ecf986ca,True,1
0x80fb784b7ed66730e8b1dbd9820afd29931aab03,True,1
0x0000000000b3f879cb30fe243b4dfee438691c04,True,1
0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,True,1
0xea38eaa3c86c8f9b751533ba2e562deb9acded40,True,1
0xd0929d411954c47438dc1d871dd6081f5c5e149c,True,1
0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,True,1
0xb70835d7822ebb9426b56543e391846c107bd32c,True,1
0x1c4481750daa5ff521a2a7490d9981ed46465dbd,True,1
0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,True,1
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,True,1
0x6781a0f84c7e9e846dcb84a9a5bd49333067b104,True,1
0xac3211a5025414af2866ff09c23fc18bc97e79b1,True,1
0x8f8221afbb33998d8584a2b05749ba73c37a938a,True,1
0x61404d2d3f2100b124d6827d3f2ddf6233cd71c0,True,1
0xe469c4473af82217b30cf17b10bcdb6c8c796e75,True,1
0x27054b13b1b798b345b591a4d22e6562d47ea75a,True,1
0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,True,1
0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,True,1
0x8a854288a5976036a725879164ca3e91d30c6a1b,True,1
0x26e75307fc0c021472feb8f727839531f112f317,True,1
0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,True,1
0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,True,1
0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,True,1
0x2604fa406be957e542beb89e6754fcde6815e83f,True,1
0xba9d4199fab4f26efe3551d490e3821486f135ba,True,1
0x24692791bc444c5cd0b81e3cbcaba4b04acd1f3b,True,1
0x0142c3b2fc51819b5af5dfc4aa52df9722790851,True,1
0x80a7e048f37a50500351c204cb407766fa3bae7f,True,1
0xca0e7269600d353f70b14ad118a49575455c0f2f,True,1
0xd341d1680eeee3255b8c4c75bcce7eb57f144dae,True,1
0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,True,1
0x42d6622dece394b54999fbd73d108123806f6a18,True,1
0x66186008c1050627f979d464eabb258860563dbe,True,1
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,True,1
0xdac17f958d2ee523a2206206994597c13d831ec7,True,1
0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,True,1
0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,True,1
0x286bda1413a2df81731d4930ce2f862a35a609fe,True,1
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,True,1
0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c,True,1
0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,True,1
0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,True,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,True,1
